
::> [0   	:  run/Start]
::> [19   	:  depth >> nextExpansionSize]
::> [27   	:  1	 >> 3]
::> [31   	:  2	 >> 2]
::> [38   	:  3	 >> 5]
::> [43   	:  4	 >> 7]
::> [50   	:  5	 >> 13]
::> [58   	:  6	 >> 16]
::> [64   	:  7	 >> 16]
::> [72   	:  8	 >> 16]
::> [75   	:  9	 >> 13]
::> [78   	:  10	 >> 7]
::> [80   	:  11	 >> 10]
::> [83   	:  12	 >> 12]
::> [85   	:  13	 >> 13]
::> [88   	:  14	 >> 11]
::> [90   	:  15	 >> 11]
::> [93   	:  16	 >> 9]
::> [94   	:  17	 >> 8]
::> [96   	:  18	 >> 4]
::> [96   	:  19	 >> 0]
::> [130   	:  20	 >> 87]
::> [150   	:  21	 >> 147]
::> [169   	:  22	 >> 176]
::> [189   	:  23	 >> 158]
::> [203   	:  24	 >> 133]
::> [214   	:  25	 >> 105]
::> [225   	:  26	 >> 111]
::> [233   	:  27	 >> 63]
::> [239   	:  28	 >> 41]
::> [242   	:  29	 >> 39]
::> [245   	:  30	 >> 36]
::> [247   	:  31	 >> 22]
::> [250   	:  32	 >> 17]
::> [251   	:  33	 >> 8]
::> [252   	:  34	 >> 8]
::> [253   	:  35	 >> 8]
::> [255   	:  36	 >> 10]
::> [256   	:  37	 >> 6]
::> [256   	:  38	 >> 4]
::> [256   	:  39	 >> 0]
::> [347   	:  40	 >> 478]
::> [385   	:  41	 >> 657]
::> [470   	:  42	 >> 687]
::> [519   	:  43	 >> 516]
::> [559   	:  44	 >> 357]
::> [593   	:  45	 >> 224]
::> [618   	:  46	 >> 230]
::> [628   	:  47	 >> 72]
::> [655   	:  48	 >> 51]
::> [659   	:  49	 >> 37]
::> [662   	:  50	 >> 29]
::> [664   	:  51	 >> 15]
::> [665   	:  52	 >> 15]
::> [667   	:  53	 >> 9]
::> [667   	:  54	 >> 10]
::> [668   	:  55	 >> 7]
::> [669   	:  56	 >> 10]
::> [670   	:  57	 >> 12]
::> [671   	:  58	 >> 10]
::> [672   	:  59	 >> 1]
::> [672   	:  60	 >> 1]
::> [672   	:  61	 >> 3]
::> [840   	:  62	 >> 1125]
::> [924   	:  63	 >> 1221]
::> [1017   	:  64	 >> 1168]
::> [1091   	:  65	 >> 771]
::> [1160   	:  66	 >> 514]
::> [1179   	:  67	 >> 270]
::> [1192   	:  68	 >> 309]
::> [1197   	:  69	 >> 67]
::> [1200   	:  70	 >> 46]
::> [1204   	:  71	 >> 40]
::> [1207   	:  72	 >> 30]
::> [1208   	:  73	 >> 12]
::> [1209   	:  74	 >> 12]
::> [1210   	:  75	 >> 13]
::> [1211   	:  76	 >> 9]
::> [1212   	:  77	 >> 10]
::> [1213   	:  78	 >> 10]
::> [1213   	:  79	 >> 8]
::> [1214   	:  80	 >> 7]
::> [1214   	:  81	 >> 4]
::> [1215   	:  82	 >> 1]
::> [1215   	:  83	 >> 3]
::> [1418   	:  84	 >> 1487]
::> [1498   	:  85	 >> 1242]
::> [1596   	:  86	 >> 1153]
::> [1658   	:  87	 >> 712]
::> [1697   	:  88	 >> 551]
::> [1723   	:  89	 >> 237]
::> [1744   	:  90	 >> 290]
::> [1749   	:  91	 >> 47]
::> [1753   	:  92	 >> 23]
::> [1755   	:  93	 >> 25]
::> [1758   	:  94	 >> 29]
::> [1759   	:  95	 >> 9]
::> [1760   	:  96	 >> 7]
::> [1761   	:  97	 >> 9]
::> [1762   	:  98	 >> 4]
::> [1762   	:  99	 >> 7]
::> [1763   	:  100	 >> 6]
::> [1763   	:  101	 >> 1]
::> [1763   	:  102	 >> 1]
::> [1763   	:  103	 >> 3]
::> [1980   	:  104	 >> 1211]
::> [2096   	:  105	 >> 775]
::> [2143   	:  106	 >> 743]
::> [2171   	:  107	 >> 439]
::> [2194   	:  108	 >> 419]
::> [2204   	:  109	 >> 141]
::> [2211   	:  110	 >> 183]
::> [2213   	:  111	 >> 27]
::> [2213   	:  112	 >> 10]
::> [2214   	:  113	 >> 10]
::> [2214   	:  114	 >> 15]
::> [2215   	:  115	 >> 1]
::> [2215   	:  116	 >> 1]
::> [2215   	:  117	 >> 3]
::> [2294   	:  118	 >> 622]
::> [2310   	:  119	 >> 314]
::> [2330   	:  120	 >> 330]
::> [2341   	:  121	 >> 185]
::> [2350   	:  122	 >> 208]
::> [2354   	:  123	 >> 53]
::> [2357   	:  124	 >> 75]
::> [2357   	:  125	 >> 8]
::> [2358   	:  126	 >> 2]
::> [2358   	:  127	 >> 1]
::> [2358   	:  128	 >> 3]
::> [2383   	:  129	 >> 196]
::> [2386   	:  130	 >> 79]
::> [2390   	:  131	 >> 97]
::> [2393   	:  132	 >> 52]
::> [2396   	:  133	 >> 61]
::> [2397   	:  134	 >> 12]
::> [2398   	:  135	 >> 21]
::> [2402   	:  136	 >> 35]
::> [2403   	:  137	 >> 9]
::> [2403   	:  138	 >> 14]
::> [2404   	:  139	 >> 7]
::> [2404   	:  140	 >> 8]
::> [2404   	:  141	 >> 2]
::> [2404   	:  142	 >> 4]
::> [2405   	:  143	 >> 3]
::> [2405   	:  144	 >> 9]
::> [2415   	:  145	 >> 179]
::> [2422   	:  146	 >> 130]
::> [2426   	:  147	 >> 54]
::> [2430   	:  148	 >> 84]
::> [2432   	:  149	 >> 40]
::> [2434   	:  150	 >> 28]
::> [2435   	:  151	 >> 20]
::> [2437   	:  152	 >> 40]
::> [2438   	:  153	 >> 29]
::> [2439   	:  154	 >> 12]
::> [2439   	:  155	 >> 12]
::> [2440   	:  156	 >> 17]
::> [2440   	:  157	 >> 4]
::> [2441   	:  158	 >> 9]
::> [2441   	:  159	 >> 5]
::> [2441   	:  160	 >> 2]
::> [2441   	:  161	 >> 1]
::> [2441   	:  162	 >> 3]
::> [2442   	:  163	 >> 12]
::> [2443   	:  164	 >> 17]
::> [2444   	:  165	 >> 20]
::> [2444   	:  166	 >> 7]
::> [2445   	:  167	 >> 20]
::> [2446   	:  168	 >> 4]
::> [2447   	:  169	 >> 12]
::> [2468   	:  170	 >> 251]
::> [2480   	:  171	 >> 198]
::> [2488   	:  172	 >> 94]
::> [2493   	:  173	 >> 120]
::> [2497   	:  174	 >> 86]
::> [2500   	:  175	 >> 52]
::> [2502   	:  176	 >> 25]
::> [2504   	:  177	 >> 34]
::> [2506   	:  178	 >> 5]
::> [2506   	:  179	 >> 6]
::> [2506   	:  180	 >> 5]
::> [2506   	:  181	 >> 2]
::> [2506   	:  182	 >> 1]
::> [2507   	:  183	 >> 3]
::> [2580   	:  184	 >> 124]
::> [2582   	:  185	 >> 43]
::> [2585   	:  186	 >> 58]
::> [2588   	:  187	 >> 25]
::> [2591   	:  188	 >> 28]
::> [2592   	:  189	 >> 24]
::> [2593   	:  190	 >> 20]
::> [2594   	:  191	 >> 8]
::> [2594   	:  192	 >> 4]
::> [2594   	:  193	 >> 6]
::> [2595   	:  194	 >> 10]
::> [2596   	:  195	 >> 16]
::> [2596   	:  196	 >> 2]
::> [2596   	:  197	 >> 2]
::> [2597   	:  198	 >> 6]
::> [2607   	:  199	 >> 117]
::> [2611   	:  200	 >> 83]
::> [2614   	:  201	 >> 43]
::> [2616   	:  202	 >> 23]
::> [2616   	:  203	 >> 9]
::> [2616   	:  204	 >> 2]
::> [2619   	:  205	 >> 23]
::> [2620   	:  206	 >> 8]
::> [2620   	:  207	 >> 5]
::> [2620   	:  208	 >> 5]
::> [2621   	:  209	 >> 1]
::> [2621   	:  210	 >> 2]
::> [2621   	:  211	 >> 6]
::> [2627   	:  212	 >> 84]
::> [2630   	:  213	 >> 53]
::> [2632   	:  214	 >> 22]
::> [2634   	:  215	 >> 18]
::> [2636   	:  216	 >> 31]
::> [2637   	:  217	 >> 19]
::> [2638   	:  218	 >> 5]
::> [2687   	:  219	 >> 634]
::> [2721   	:  220	 >> 579]
::> [2743   	:  221	 >> 271]
::> [2751   	:  222	 >> 106]
::> [2754   	:  223	 >> 70]
::> [2757   	:  224	 >> 48]
::> [2759   	:  225	 >> 31]
::> [2760   	:  226	 >> 30]
::> [2761   	:  227	 >> 10]
::> [2761   	:  228	 >> 2]
::> [2761   	:  229	 >> 6]
::> [2763   	:  230	 >> 21]
::> [2764   	:  231	 >> 27]
::> [2766   	:  232	 >> 26]
::> [2766   	:  233	 >> 7]
::> [2767   	:  234	 >> 6]
::> [2769   	:  235	 >> 24]
::> [2770   	:  236	 >> 14]
::> [2770   	:  237	 >> 12]
::> [2771   	:  238	 >> 5]
::> [2771   	:  run/Finish]
::> [2771   	:  report/Start]
::> [2772   	:  1	 --> Move(o4,o1)]
::> [2772   	:  2	 --> Move(o1,o2)]
::> [2772   	:  3	 --> Push(B,o2,o5)]
::> [2772   	:  4	 --> Push(B,o5,o4)]
::> [2772   	:  5	 --> Move(o4,o5)]
::> [2772   	:  6	 --> Move(o5,o8)]
::> [2772   	:  7	 --> Push(F,o8,o5)]
::> [2772   	:  8	 --> Push(F,o5,o2)]
::> [2772   	:  9	 --> Move(o2,o1)]
::> [2772   	:  10	 --> Move(o1,o4)]
::> [2772   	:  11	 --> Push(B,o4,o5)]
::> [2772   	:  12	 --> Push(B,o5,o8)]
::> [2772   	:  13	 --> Move(o8,o7)]
::> [2773   	:  14	 --> Push(G,o7,o4)]
::> [2773   	:  15	 --> Push(G,o4,o5)]
::> [2773   	:  16	 --> Move(o5,o2)]
::> [2773   	:  17	 --> Move(o2,o1)]
::> [2773   	:  18	 --> Push(A,o1,o4)]
::> [2773   	:  19	 --> Push(A,o4,o7)]
::> [2773   	:  20	 --> Move(o7,o8)]
::> [2773   	:  21	 --> Move(o8,o5)]
::> [2773   	:  22	 --> Push(G,o5,o4)]
::> [2773   	:  23	 --> Push(G,o4,o1)]
::> [2773   	:  24	 --> Move(o1,o2)]
::> [2773   	:  25	 --> Move(o2,o3)]
::> [2773   	:  26	 --> Move(o3,o6)]
::> [2773   	:  27	 --> Push(D,o6,o5)]
::> [2773   	:  28	 --> Push(D,o5,o4)]
::> [2773   	:  29	 --> Move(o4,o5)]
::> [2774   	:  30	 --> Move(o5,o6)]
