
::> [0   	:  run/Start]
::> [18   	:  depth >> nextExpansionSize]
::> [26   	:  1	 >> 4]
::> [35   	:  2	 >> 4]
::> [37   	:  3	 >> 5]
::> [40   	:  4	 >> 6]
::> [46   	:  5	 >> 11]
::> [52   	:  6	 >> 15]
::> [60   	:  7	 >> 11]
::> [63   	:  8	 >> 9]
::> [65   	:  9	 >> 7]
::> [66   	:  10	 >> 3]
::> [68   	:  11	 >> 4]
::> [68   	:  12	 >> 2]
::> [69   	:  13	 >> 2]
::> [88   	:  14	 >> 49]
::> [98   	:  15	 >> 63]
::> [109   	:  16	 >> 68]
::> [129   	:  17	 >> 73]
::> [141   	:  18	 >> 69]
::> [146   	:  19	 >> 50]
::> [151   	:  20	 >> 48]
::> [155   	:  21	 >> 43]
::> [161   	:  22	 >> 44]
::> [164   	:  23	 >> 21]
::> [165   	:  24	 >> 22]
::> [167   	:  25	 >> 10]
::> [167   	:  26	 >> 6]
::> [206   	:  27	 >> 237]
::> [225   	:  28	 >> 220]
::> [246   	:  29	 >> 236]
::> [269   	:  30	 >> 248]
::> [322   	:  31	 >> 214]
::> [338   	:  32	 >> 116]
::> [338   	:  33	 >> 100]
::> [338   	:  34	 >> 70]
::> [353   	:  35	 >> 53]
::> [353   	:  36	 >> 31]
::> [353   	:  37	 >> 26]
::> [353   	:  38	 >> 3]
::> [431   	:  39	 >> 494]
::> [463   	:  40	 >> 350]
::> [530   	:  41	 >> 393]
::> [551   	:  42	 >> 385]
::> [573   	:  43	 >> 336]
::> [581   	:  44	 >> 120]
::> [587   	:  45	 >> 69]
::> [589   	:  46	 >> 42]
::> [591   	:  47	 >> 29]
::> [592   	:  48	 >> 19]
::> [592   	:  49	 >> 16]
::> [592   	:  50	 >> 1]
::> [679   	:  51	 >> 578]
::> [707   	:  52	 >> 336]
::> [730   	:  53	 >> 355]
::> [746   	:  54	 >> 294]
::> [766   	:  55	 >> 266]
::> [774   	:  56	 >> 74]
::> [776   	:  57	 >> 29]
::> [778   	:  58	 >> 15]
::> [779   	:  59	 >> 9]
::> [779   	:  60	 >> 4]
::> [878   	:  61	 >> 419]
::> [892   	:  62	 >> 212]
::> [901   	:  63	 >> 181]
::> [912   	:  64	 >> 132]
::> [921   	:  65	 >> 118]
::> [925   	:  66	 >> 38]
::> [926   	:  67	 >> 7]
::> [926   	:  68	 >> 2]
::> [927   	:  69	 >> 2]
::> [965   	:  70	 >> 195]
::> [971   	:  71	 >> 79]
::> [974   	:  72	 >> 58]
::> [977   	:  73	 >> 47]
::> [978   	:  74	 >> 32]
::> [979   	:  75	 >> 14]
::> [987   	:  76	 >> 56]
::> [987   	:  77	 >> 11]
::> [988   	:  78	 >> 12]
::> [988   	:  79	 >> 10]
::> [988   	:  80	 >> 5]
::> [989   	:  81	 >> 3]
::> [990   	:  82	 >> 8]
::> [991   	:  83	 >> 24]
::> [991   	:  84	 >> 2]
::> [1007   	:  85	 >> 228]
::> [1010   	:  86	 >> 66]
::> [1012   	:  87	 >> 35]
::> [1013   	:  88	 >> 30]
::> [1015   	:  89	 >> 24]
::> [1015   	:  90	 >> 10]
::> [1015   	:  91	 >> 2]
::> [1017   	:  92	 >> 12]
::> [1020   	:  93	 >> 37]
::> [1020   	:  94	 >> 2]
::> [1174   	:  95	 >> 1260]
::> [1206   	:  96	 >> 586]
::> [1223   	:  97	 >> 359]
::> [1238   	:  98	 >> 289]
::> [1252   	:  99	 >> 226]
::> [1263   	:  100	 >> 128]
::> [1268   	:  101	 >> 59]
::> [1270   	:  102	 >> 48]
::> [1271   	:  103	 >> 23]
::> [1272   	:  104	 >> 15]
::> [1272   	:  105	 >> 1]
::> [1310   	:  106	 >> 301]
::> [1318   	:  107	 >> 217]
::> [1329   	:  108	 >> 234]
::> [1343   	:  109	 >> 169]
::> [1348   	:  110	 >> 64]
::> [1349   	:  111	 >> 38]
::> [1350   	:  112	 >> 15]
::> [1350   	:  113	 >> 10]
::> [1351   	:  114	 >> 10]
::> [1351   	:  115	 >> 7]
::> [1351   	:  116	 >> 0]
::> [1353   	:  117	 >> 20]
::> [1354   	:  118	 >> 33]
::> [1355   	:  119	 >> 34]
::> [1357   	:  120	 >> 32]
::> [1358   	:  121	 >> 17]
::> [1358   	:  122	 >> 14]
::> [1359   	:  123	 >> 6]
::> [1359   	:  124	 >> 2]
::> [1407   	:  125	 >> 8]
::> [1409   	:  126	 >> 32]
::> [1456   	:  127	 >> 405]
::> [1472   	:  128	 >> 212]
::> [1480   	:  129	 >> 154]
::> [1486   	:  130	 >> 94]
::> [1489   	:  131	 >> 58]
::> [1490   	:  132	 >> 20]
::> [1490   	:  133	 >> 4]
::> [1510   	:  134	 >> 53]
::> [1511   	:  135	 >> 4]
::> [1511   	:  136	 >> 3]
::> [1511   	:  137	 >> 4]
::> [1511   	:  138	 >> 1]
::> [1512   	:  139	 >> 1]
::> [1512   	:  140	 >> 4]
::> [1515   	:  141	 >> 19]
::> [1516   	:  142	 >> 12]
::> [1516   	:  143	 >> 8]
::> [1517   	:  144	 >> 4]
::> [1517   	:  145	 >> 1]
::> [1518   	:  146	 >> 2]
::> [1518   	:  147	 >> 7]
::> [1543   	:  148	 >> 245]
::> [1545   	:  149	 >> 31]
::> [1546   	:  150	 >> 22]
::> [1547   	:  151	 >> 10]
::> [1547   	:  152	 >> 6]
::> [1547   	:  153	 >> 0]
::> [1549   	:  154	 >> 22]
::> [1550   	:  155	 >> 25]
::> [1551   	:  156	 >> 15]
::> [1552   	:  157	 >> 12]
::> [1552   	:  158	 >> 2]
::> [1552   	:  159	 >> 5]
::> [1553   	:  160	 >> 8]
::> [1553   	:  161	 >> 7]
::> [1554   	:  162	 >> 6]
::> [1554   	:  163	 >> 1]
::> [1555   	:  164	 >> 2]
::> [1556   	:  165	 >> 8]
::> [1565   	:  166	 >> 61]
::> [1567   	:  167	 >> 24]
::> [1568   	:  168	 >> 16]
::> [1569   	:  169	 >> 8]
::> [1569   	:  170	 >> 2]
::> [1571   	:  171	 >> 4]
::> [1572   	:  172	 >> 14]
::> [1593   	:  173	 >> 201]
::> [1597   	:  174	 >> 72]
::> [1599   	:  175	 >> 63]
::> [1601   	:  176	 >> 37]
::> [1603   	:  177	 >> 20]
::> [1604   	:  178	 >> 4]
::> [1608   	:  179	 >> 31]
::> [1609   	:  180	 >> 25]
::> [1610   	:  181	 >> 15]
::> [1610   	:  182	 >> 12]
::> [1611   	:  183	 >> 2]
::> [1611   	:  run/Finish]
::> [1611   	:  report/Start]
::> [1611   	:  1	 --> Move(o5,o8)]
::> [1611   	:  2	 --> Push(F,o8,o7)]
::> [1611   	:  3	 --> Move(o7,o8)]
::> [1612   	:  4	 --> CleanOffice(o8)]
::> [1612   	:  5	 --> Move(o8,o7)]
::> [1612   	:  6	 --> Push(F,o7,o8)]
::> [1612   	:  7	 --> Move(o8,o7)]
::> [1612   	:  8	 --> Move(o7,o4)]
::> [1612   	:  9	 --> Move(o4,o1)]
::> [1612   	:  10	 --> Push(A,o1,o4)]
::> [1612   	:  11	 --> Move(o4,o1)]
::> [1612   	:  12	 --> CleanOffice(o1)]
::> [1612   	:  13	 --> Move(o1,o4)]
::> [1612   	:  14	 --> Push(A,o4,o1)]
::> [1612   	:  15	 --> Move(o1,o2)]
::> [1612   	:  16	 --> Push(B,o2,o5)]
::> [1612   	:  17	 --> Move(o5,o2)]
::> [1612   	:  18	 --> Move(o2,o3)]
::> [1612   	:  19	 --> Push(C,o3,o2)]
::> [1612   	:  20	 --> Move(o2,o3)]
::> [1612   	:  21	 --> Move(o3,o6)]
::> [1613   	:  22	 --> Push(D,o6,o3)]
::> [1613   	:  23	 --> Move(o3,o2)]
::> [1613   	:  24	 --> Move(o2,o5)]
::> [1613   	:  25	 --> Push(B,o5,o6)]
::> [1613   	:  26	 --> Move(o6,o3)]
::> [1613   	:  27	 --> Move(o3,o2)]
::> [1613   	:  28	 --> Push(C,o2,o5)]
::> [1613   	:  29	 --> Push(C,o5,o4)]
::> [1613   	:  30	 --> Move(o4,o1)]
::> [1613   	:  31	 --> Move(o1,o2)]
::> [1613   	:  32	 --> CleanOffice(o2)]
::> [1613   	:  33	 --> Move(o2,o3)]
::> [1613   	:  34	 --> Push(D,o3,o2)]
::> [1613   	:  35	 --> Move(o2,o3)]
::> [1613   	:  36	 --> CleanOffice(o3)]
::> [1613   	:  37	 --> Move(o3,o2)]
::> [1613   	:  38	 --> Move(o2,o1)]
::> [1613   	:  39	 --> Move(o1,o4)]
::> [1614   	:  40	 --> Push(C,o4,o7)]
::> [1614   	:  41	 --> Move(o7,o8)]
::> [1614   	:  42	 --> Move(o8,o9)]
::> [1614   	:  43	 --> Move(o9,o6)]
::> [1614   	:  44	 --> Push(B,o6,o5)]
::> [1614   	:  45	 --> Push(B,o5,o4)]
::> [1614   	:  46	 --> Move(o4,o7)]
::> [1614   	:  47	 --> Move(o7,o8)]
::> [1614   	:  48	 --> Move(o8,o9)]
::> [1614   	:  49	 --> Push(E,o9,o6)]
