
::> [0   	:  run/Start]
::> [17   	:  depth >> nextExpansionSize]
::> [27   	:  1	 >> 5]
::> [44   	:  2	 >> 8]
::> [47   	:  3	 >> 3]
::> [49   	:  4	 >> 5]
::> [52   	:  5	 >> 6]
::> [55   	:  6	 >> 6]
::> [57   	:  7	 >> 3]
::> [61   	:  8	 >> 6]
::> [64   	:  9	 >> 6]
::> [66   	:  10	 >> 3]
::> [72   	:  11	 >> 13]
::> [76   	:  12	 >> 16]
::> [79   	:  13	 >> 8]
::> [80   	:  14	 >> 3]
::> [82   	:  15	 >> 8]
::> [83   	:  16	 >> 5]
::> [84   	:  17	 >> 1]
::> [96   	:  18	 >> 31]
::> [111   	:  19	 >> 71]
::> [129   	:  20	 >> 69]
::> [140   	:  21	 >> 39]
::> [144   	:  22	 >> 21]
::> [145   	:  23	 >> 4]
::> [168   	:  24	 >> 93]
::> [195   	:  25	 >> 165]
::> [215   	:  26	 >> 87]
::> [220   	:  27	 >> 26]
::> [220   	:  28	 >> 4]
::> [249   	:  29	 >> 103]
::> [271   	:  30	 >> 144]
::> [279   	:  31	 >> 42]
::> [281   	:  32	 >> 7]
::> [291   	:  33	 >> 52]
::> [298   	:  34	 >> 56]
::> [300   	:  35	 >> 10]
::> [303   	:  36	 >> 12]
::> [304   	:  37	 >> 8]
::> [304   	:  38	 >> 1]
::> [305   	:  39	 >> 1]
::> [305   	:  40	 >> 2]
::> [309   	:  41	 >> 36]
::> [312   	:  42	 >> 51]
::> [315   	:  43	 >> 26]
::> [317   	:  44	 >> 26]
::> [317   	:  45	 >> 5]
::> [318   	:  46	 >> 1]
::> [321   	:  47	 >> 21]
::> [323   	:  48	 >> 17]
::> [325   	:  49	 >> 21]
::> [326   	:  50	 >> 7]
::> [327   	:  51	 >> 7]
::> [329   	:  52	 >> 9]
::> [329   	:  53	 >> 4]
::> [329   	:  54	 >> 6]
::> [330   	:  55	 >> 2]
::> [330   	:  56	 >> 2]
::> [330   	:  57	 >> 1]
::> [330   	:  58	 >> 2]
::> [345   	:  59	 >> 33]
::> [349   	:  60	 >> 57]
::> [352   	:  61	 >> 28]
::> [355   	:  62	 >> 23]
::> [356   	:  63	 >> 6]
::> [356   	:  64	 >> 0]
::> [358   	:  65	 >> 10]
::> [361   	:  66	 >> 19]
::> [362   	:  67	 >> 15]
::> [363   	:  68	 >> 5]
::> [363   	:  69	 >> 0]
::> [363   	:  70	 >> 1]
::> [364   	:  71	 >> 2]
::> [390   	:  72	 >> 240]
::> [419   	:  73	 >> 396]
::> [435   	:  74	 >> 176]
::> [445   	:  75	 >> 86]
::> [449   	:  76	 >> 25]
::> [449   	:  77	 >> 0]
::> [453   	:  78	 >> 32]
::> [456   	:  79	 >> 46]
::> [460   	:  80	 >> 64]
::> [462   	:  81	 >> 24]
::> [462   	:  82	 >> 0]
::> [463   	:  83	 >> 4]
::> [463   	:  run/Finish]
::> [463   	:  report/Start]
::> [463   	:  1	 --> Move(o3,o6)]
::> [463   	:  2	 --> Move(o6,o9)]
::> [463   	:  3	 --> Push(C,o9,o6)]
::> [463   	:  4	 --> Move(o6,o5)]
::> [463   	:  5	 --> Move(o5,o2)]
::> [463   	:  6	 --> Move(o2,o1)]
::> [464   	:  7	 --> Push(A,o1,o4)]
::> [464   	:  8	 --> Push(A,o4,o7)]
::> [464   	:  9	 --> Push(A,o7,o8)]
::> [464   	:  10	 --> Push(A,o8,o9)]
::> [464   	:  11	 --> Move(o9,o6)]
::> [464   	:  12	 --> Push(C,o6,o3)]
::> [464   	:  13	 --> Push(C,o3,o2)]
::> [464   	:  14	 --> Move(o2,o1)]
::> [464   	:  15	 --> CleanOffice(o1)]
::> [464   	:  16	 --> Move(o1,o2)]
::> [464   	:  17	 --> Push(C,o2,o1)]
::> [464   	:  18	 --> Move(o1,o4)]
::> [464   	:  19	 --> CleanOffice(o4)]
::> [464   	:  20	 --> Move(o4,o7)]
::> [464   	:  21	 --> CleanOffice(o7)]
::> [464   	:  22	 --> Move(o7,o8)]
::> [465   	:  23	 --> Move(o8,o9)]
::> [465   	:  24	 --> Push(A,o9,o8)]
::> [465   	:  25	 --> Move(o8,o9)]
::> [465   	:  26	 --> CleanOffice(o9)]
::> [465   	:  27	 --> Move(o9,o6)]
::> [465   	:  28	 --> CleanOffice(o6)]
::> [465   	:  29	 --> Move(o6,o5)]
::> [465   	:  30	 --> Push(B,o5,o4)]
::> [465   	:  31	 --> Move(o4,o5)]
::> [465   	:  32	 --> Move(o5,o8)]
::> [465   	:  33	 --> Push(A,o8,o7)]
::> [465   	:  34	 --> Move(o7,o4)]
::> [465   	:  35	 --> Move(o4,o5)]
::> [466   	:  best match: 0 differences]
::> [466   	:  skipped:    2273 repeated1 states]
::> [466   	:  skipped:    2568 looping states]
::> [466   	:  total:      2690 states]
::> [466   	:  report/Finish]
