
::> [0   	:  run/Start]
::> [28   	:  depth >> nextExpansionSize]
::> [42   	:  1	 >> 5]
::> [48   	:  2	 >> 4]
::> [60   	:  3	 >> 8]
::> [70   	:  4	 >> 12]
::> [83   	:  5	 >> 15]
::> [89   	:  6	 >> 5]
::> [91   	:  7	 >> 6]
::> [95   	:  8	 >> 8]
::> [99   	:  9	 >> 6]
::> [102   	:  10	 >> 4]
::> [104   	:  11	 >> 8]
::> [107   	:  12	 >> 7]
::> [110   	:  13	 >> 5]
::> [113   	:  14	 >> 3]
::> [115   	:  15	 >> 5]
::> [117   	:  16	 >> 4]
::> [120   	:  17	 >> 5]
::> [121   	:  18	 >> 2]
::> [147   	:  19	 >> 37]
::> [166   	:  20	 >> 66]
::> [190   	:  21	 >> 69]
::> [207   	:  22	 >> 59]
::> [220   	:  23	 >> 56]
::> [228   	:  24	 >> 49]
::> [239   	:  25	 >> 51]
::> [246   	:  26	 >> 27]
::> [250   	:  27	 >> 20]
::> [254   	:  28	 >> 20]
::> [257   	:  29	 >> 13]
::> [259   	:  30	 >> 6]
::> [260   	:  31	 >> 9]
::> [261   	:  32	 >> 5]
::> [262   	:  33	 >> 1]
::> [262   	:  34	 >> 0]
::> [294   	:  35	 >> 147]
::> [321   	:  36	 >> 241]
::> [364   	:  37	 >> 207]
::> [391   	:  38	 >> 130]
::> [404   	:  39	 >> 93]
::> [410   	:  40	 >> 51]
::> [416   	:  41	 >> 44]
::> [421   	:  42	 >> 20]
::> [422   	:  43	 >> 5]
::> [423   	:  44	 >> 5]
::> [423   	:  45	 >> 2]
::> [469   	:  46	 >> 244]
::> [507   	:  47	 >> 363]
::> [541   	:  48	 >> 256]
::> [567   	:  49	 >> 114]
::> [595   	:  50	 >> 50]
::> [598   	:  51	 >> 18]
::> [599   	:  52	 >> 10]
::> [600   	:  53	 >> 4]
::> [638   	:  54	 >> 229]
::> [663   	:  55	 >> 300]
::> [679   	:  56	 >> 177]
::> [689   	:  57	 >> 67]
::> [692   	:  58	 >> 9]
::> [692   	:  59	 >> 2]
